,BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
21925,crocs,croslite slip on womens casual wear flats - navy,"Size:3,4,5,6,7",1698,3295,No Discount,Footwear-Women
21926,inc.5,synthetic slipon womens casual wear loafers - purple,"Size:37,38,39,40",2990,1495,50% off,Footwear-Women
21927,catwalk,womens patent chunky sneakers - black,"Size:4,5,6,7,8,9",2895,1447,50% off,Footwear-Women
21928,inc.5,synthetic womens party wear sandals - tan,"Size:5,6,7,8,9,10,11",1890,1190,37% off,Footwear-Women
21929,puma,synthetic slipon unisex slides - blue,"Size:6,7,8,9,10,11",1698,1799,No Discount,Footwear-Women
21930,adidas,synthetic slipon womens athleisure slides - pink,"Size:5,6,7",1698,2699,No Discount,Footwear-Women
21931,haute curry,womens casual wear slipon wedges - black,"Size:36,40",2499,1249,50% off,Footwear-Women
21932,inc.5,synthetic womens party wear sandals - natural,Size:37,2290,1145,50% off,Footwear-Women
21933,skechers,mesh lace up womens sports shoes - navy,"Size:6,7,8,9,10",5999,4499,25% off,Footwear-Women
21934,catwalk,womens metallic wood textured slip ons - gold,"Size:4,5,7,8,9",1995,1596,20% off,Footwear-Women
21935,skechers,synthetic gleam - beachy womens slippers - pink,"Size:6,7,8,9,10",2299,1149,50% off,Footwear-Women
21936,lemon & pepper,pu slip on womens casual wear sandals - green,"Size:36,37,38,39,40",2999,2399,20% off,Footwear-Women
21937,haute curry,pu slip on womens round toe sandals - grey,"Size:36,37,38,39,40,41",2999,2099,30% off,Footwear-Women
21938,catwalk,patent slip on womens formal mules - black,"Size:5,6,7,8",3195,1597,50% off,Footwear-Women
21939,skechers,womens casual wear slipon wedges - black,"Size:6,7,8,9,10",4499,2249,50% off,Footwear-Women
21940,estatos,womens casual wear buckle closure flats - wine,"Size:37,38,39",492,295,40% off,Footwear-Women
21941,shoetopia,synthetic womens casual slides - black,"Size:36,37,38,39,40,41",999,499,50% off,Footwear-Women
21942,skechers,rubber go walk 5 - astonished womens casual shoes - blue,"Size:6,7,8,9,10",3999,2399,40% off,Footwear-Women
21943,lemon & pepper,pu slip on womens casual wear sandals - peach,"Size:35,36,37,38,39,40,41",3499,2799,20% off,Footwear-Women
21944,haute curry,polyurethane slipon womens casual wear sandals - antique,"Size:36,37,38,39,40,41",1698,2499,No Discount,Footwear-Women
21945,haute curry,polyurethane slipon womens casual wear sandals - natural,"Size:36,37,38,39,40,41",1698,1899,No Discount,Footwear-Women
21946,lemon & pepper,pu buckle womens casual wear sandals - gold,"Size:36,37,38,39,40,41",3499,2449,30% off,Footwear-Women
21947,haute curry,polyurethane slipon womens casual sandals - black,"Size:36,37,38,39,40,41",2999,2099,30% off,Footwear-Women
21948,catwalk,womens hot-fix rhinestone slip ons - red,"Size:4,5,6,7,8,9",2395,1119,53% off,Footwear-Women
